"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-01","15.21",,"0.00","0.0","0.0","44","58","34","  190","  200","33.1","45.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-02","6.93",,"0.00","0.0","0.0","51","58","43","  160","  170","17.0","23.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-03","10.07",,"0.00","0.0","0.0","48","56","36","  340","  340","18.1","23.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-04","4.92",,"0.00","0.0","0.0","41","50","29","  160","  170","13.0","17.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-05","8.50",,"0.00","0.0","0.0","47","61","31","   10","   20","23.0","33.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-06","6.26",,"0.00","0.0","0.0","41","59","27","  300","  300","16.1","21.9",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-07","6.26",,"0.00","0.0","0.0","43","60","32","  180","  190","12.1","17.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-08","13.42",,"0.00","0.0","0.0","49","63","41","  170","  170","28.0","36.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-09","17.00",,"0.00","0.0","0.0","57","62","53","  170","  170","32.0","45.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-10","13.65",,"2.00","0.0","0.0","60","65","31","  340","  330","35.1","42.9","    1",,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-11","11.41",,"0.00","0.1","0.0","30","33","24","  350","  350","31.1","42.1","    1",,,,,"    1",,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-12","11.86",,"0.00","0.0","0.0","32","50","24","  170","  150","23.0","31.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-13","10.51",,"0.00","0.0","0.0","41","55","31","  170","  180","23.0","32.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-14","9.40",,"0.00","0.0","0.0","53","57","50","  170","  170","23.9","33.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-15","12.75",,"0.00","0.0","0.0","57","66","37","   10","   10","23.0","34.0","    1",,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-16","11.86",,"0.19","0.0","0.0","37","38","29","   10","   20","25.1","35.1","    1",,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-01-17","10.51",,"1.70","0.0","0.0","38","51","37","  180","  190","23.9","32.0","    1",,,,,,,,
