"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-01",,,"0.00","0.0","0.0","86","65","66"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-02",,,"0.56","0.0","0.0","81","63","64"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-03",,,"0.01","0.0","0.0","73","57","58"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-04",,,"0.00","0.0","0.0","77","53","60"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-05",,,"0.00","0.0","0.0","83","58","68"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-06",,,"0.00","0.0","0.0","89","67","74"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-07",,,"0.01","0.0","0.0","92","70","74"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-08",,,"0.06","0.0","0.0","79","66","68"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-09",,,"0.58","0.0","0.0","90","65","71"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-10",,,"0.11","0.0","0.0","80","63","64"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-11",,,"0.00","0.0","0.0","81","63","66"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-12",,,"0.97","0.0","0.0","83","61","69"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-13",,,"0.00","0.0","0.0","81","63","70"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-14",,,"0.53","0.0","0.0","81","65","72"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-15",,,"0.02","0.0","0.0","90","69","76"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-16",,,"0.00","0.0","0.0","92","66","77"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-17",,,"0.00","0.0","0.0","93","71","78"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-18",,,"0.00","0.0","0.0","92","76","78"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-19",,,"0.08","0.0","0.0","89","75","77"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-06-20",,,"0.75","0.0","0.0","90","69","75"
